pid,xml
52-1382,https://dblp.org/pid/52/1382.xml
52-1486,https://dblp.org/pid/52/1486.xml
52-4954-1,https://dblp.org/pid/52/4954-1.xml
52-6414,https://dblp.org/pid/52/6414.xml
52-6987,https://dblp.org/pid/52/6987.xml
52-8700,https://dblp.uni-trier.de/pid/52/8700.xml
52-9457,https://dblp.org/pid/52/9457.xml
53-7986,https://dblp.org/pid/53/7986.xml
54-1720,https://dblp.org/pid/54/1720.xml
54-3265,https://dblp.org/pid/54/3265.xml
54-385-1,https://dblp.org/pid/54/385-1.xml
54-6752,https://dblp.org/pid/54/6752.xml
55-1967,https://dblp.org/pid/55/1967.xml
55-3364,https://dblp.org/pid/55/3364.xml
55-5031,https://dblp.org/pid/55/5031.xml
55-5690,https://dblp.org/pid/55/5690.xml
55-6899,https://dblp.uni-trier.de/pid/55/6899.xml
55-9613,https://dblp.org/pid/55/9613.xml
56-10886,https://dblp.org/pid/56/10886.xml
56-2998-1,https://dblp.org/pid/56/2998-1.xml
56-3378,https://dblp.org/pid/56/3378.xml
56-451,https://dblp.org/pid/56/451.xml
56-4585,https://dblp.org/pid/56/4585.xml
56-6651,https://dblp.org/pid/56/6651.xml
56-7016,https://dblp.org/pid/56/7016.xml
56-7911,https://dblp.org/pid/56/7911.xml
57-10514,https://dblp.org/pid/57/10514.xml
57-4384-1,https://dblp.uni-trier.de/pid/57/4384-1.xml
57-7247,https://dblp.org/pid/57/7247.xml
58-10813,https://dblp.org/pid/58/10813.xml
58-1327,https://dblp.org/pid/58/1327.xml
58-1388,https://dblp.org/pid/58/1388.xml
58-3771,https://dblp.org/pid/58/3771.xml
58-4127,https://dblp.uni-trier.de/pid/58/4127.xml
58-6066,https://dblp.org/pid/58/6066.xml
59-1952,https://dblp.org/pid/59/1952.xml
59-2081,https://dblp.org/pid/59/2081.xml
59-3814,https://dblp.uni-trier.de/pid/59/3814.xml
59-5146,https://dblp.uni-trier.de/pid/59/5146.xml
59-6952,https://dblp.org/pid/59/6952.xml
59-7992,https://dblp.org/pid/59/7992.xml
60-2319,https://dblp.org/pid/60/2319.xml
60-7439,https://dblp.org/pid/60/7439.xml
61-1573,https://dblp.org/pid/61/1573.xml
61-3091,https://dblp.org/pid/61/3091.xml
61-3197,https://dblp.org/pid/61/3197.xml
61-3234,https://dblp.uni-trier.de/pid/61/3234.xml
61-3251,https://dblp.org/pid/61/3251.xml
